Cód Transacción	Cód Transacción	Descripción Transacción	Artículo	Descripción Artículo	Planta	Desc. Planta	Cód. Configuración	Dirección	Cantidad	UdM	Dirección Paralela	Ctd Paralela	UdM Paralela	Ubicación	Almacén	Cajón	Fila	Nivel	Caja	Nº Lote	Nº Serie	Cód. Condición	Desc. Cód. Condición	Nº R/D/R	Nº Rev	Fecha Caducidad	Ref Orden 1	Ref Orden 2	Ref Orden 3	Ref Orden 4	Tipo Orden	Coste	Coste Inventario	Coste Total	Creado	Hora Creación	Nota	Realizado Por	Fecha Aplicada	Incl en Art Agr por Periodo	Incl.Valor Agreg. por Per.	Devol/Deshec	Propiedad	Propietario	Nombre Propietario	Propiedad Previo	Propietario Previo	Nombre Propietario Previo	Cód. Programa	Descripción de Programa	Cód Proyecto	Nombre Proyecto	Cód Subproyecto	Descripción Subproyecto	Cód Actividad	Descripción Actividad	Secuencia Actividad	Tiene Errores Contab	Tiene Contab Trasnferidas	Cód Inf Trans Inv	Fecha Aplicada Fecha Modificación	Fecha Aplicada Modificada por Usuario
"1,545,684"	ARRIVAL	Recepción de Orden de Compra	P02.004.EM0654	EMPAQUE ESPIROMETÁLICO N5606P03001G11	05M-O	TERMOPICHINCHA M-O	*	+	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100041891	26	1	1	Orden Compra	13.53	135.26	135.26	04/02/2016	17:42:21		VTIXE	02/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	245359	04/02/2016 17:42	VTIXE
"1,545,685"	ARRIVAL	Recepción de Orden de Compra	P02.004.EM0654	EMPAQUE ESPIROMETÁLICO N5606P03001G11	05M-O	TERMOPICHINCHA M-O	*	+	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100041891	26	2	1	Orden Compra	10.82	108.24	108.24	04/02/2016	17:42:22		VTIXE	02/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	245359	04/02/2016 17:42	VTIXE
"1,545,686"	ARRIVAL	Recepción de Orden de Compra	P02.004.EM0994	EMPAQUE 324A9109P127	05M-O	TERMOPICHINCHA M-O	*	+	20	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100041891	27	1	1	Orden Compra	20.17	403.35	403.35	04/02/2016	17:42:22		VTIXE	02/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	245359	04/02/2016 17:42	VTIXE
"1,545,687"	ARRIVAL	Recepción de Orden de Compra	P02.004.EM0994	EMPAQUE 324A9109P127	05M-O	TERMOPICHINCHA M-O	*	+	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100041891	27	2	1	Orden Compra	16.14	161.39	161.39	04/02/2016	17:42:23		VTIXE	02/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	245359	04/02/2016 17:42	VTIXE
"1,545,688"	ARRIVAL	Recepción de Orden de Compra	P01.010.PL0006	LAMINA DE SEGURO GE294A-150-P006	05M-O	TERMOPICHINCHA M-O	*	+	40	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	P100041891	28	1	1	Orden Compra	2.74	109.77	109.77	04/02/2016	17:42:24		VTIXE	02/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	245359	04/02/2016 17:42	VTIXE
"1,545,689"	ARRIVAL	Recepción de Orden de Compra	P01.020.EM0280	EMPAQUE DE TURBINA 318A9713P008	05M-O	TERMOPICHINCHA M-O	*	+	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	P100041891	29	1	1	Orden Compra	21.19	211.88	211.88	04/02/2016	17:42:24		VTIXE	02/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	245359	04/02/2016 17:42	VTIXE
"1,545,690"	ARRIVAL	Recepción de Orden de Compra	P01.020.EM0062	EMPAQUE  GE-318A9713-P016	05M-O	TERMOPICHINCHA M-O	*	+	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	P100041891	30	1	1	Orden Compra	21.74	217.39	217.39	04/02/2016	17:42:25		VTIXE	02/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	245359	04/02/2016 17:42	VTIXE
"1,545,691"	ARRIVAL	Recepción de Orden de Compra	P02.005.TR0263	TUERCA DE AUTO BLOQUEO N265BP33	05M-O	TERMOPICHINCHA M-O	*	+	140	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100041891	31	1	1	Orden Compra	0.38	52.84	52.84	04/02/2016	17:42:26		VTIXE	02/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	245359	04/02/2016 17:42	VTIXE
"1,551,848"	INTSHIP	Consumo para Solic.Material	P12.073.BA0010	BASURERO DE PLASTICO	05M-O	TERMOPICHINCHA M-O	*	-	2	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		178290	5	1	1	Solicitud Material	17.1	34.21	34.21	12/02/2016	13:28:00	INT	VTIXE	12/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	246797		
"1,551,849"	INTSHIP	Consumo para Solic.Material	P16.002.SU0019	TRAPEADORES	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		178290	6	1	1	Solicitud Material	2.97	2.97	2.97	12/02/2016	13:28:00	INT	VTIXE	12/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	246797		
